,numreads,covbases,coverage,meandepth,meanbaseq,meanmapq,CPM,Region,Source,Latitude,Longitude,Size_Categorie,station,Metagenome,depth,tricho_present,logCPM,phage_present
ERR599049,0,0,0.0,0.0,0.0,0.0,0.01,Red Sea,Tara,22.025,38.2333,Size_01,33SUR,33SUR0CCII11,SUR,No Tricho,-2.0,False
ERR868419,0,0,0.0,0.0,0.0,0.0,0.01,South Pacific,Tara,-8.9971,220.8037,Size_01,122DCM,122DCM1GGMM11,DCM,No Tricho,-2.0,False
ERR1726559,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,31.5213,201.0042,Size_02,132SUR,132SUR1MMQQ11,SUR,Tricho present,-2.0,False
ERR4691598,0,0,0.0,0.0,0.0,0.0,0.01,Arctic,Tara,67.1675,0.2177,Size_02,158DCM,158DCM1KKQQ11,DCM,No Tricho,-2.0,False
ERR599098,0,0,0.0,0.0,0.0,0.0,0.01,Indian,Tara,-16.957,53.9801,Size_01,52SUR,52SUR0CCII11,SUR,No Tricho,-2.0,False
ERR1726580,7,385,0.258043,0.00408177,37.3,42.9,0.04691689008042896,North Pacific,Tara,31.5213,201.0042,Size_03,132SUR,132SUR1QQSS11,SUR,Tricho present,-1.3286707831223932,False
ERR4691846,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,7.4122,280.6983,Size_All,140SUR,140SUR1GGZZ11,SUR,Tricho present,-2.0,False
ERR4691739,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,40.6541,2.8407,Size_04,10SUR,10SUR1SSUU11,SUR,No Tricho,-2.0,False
ERR4691844,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,7.4122,280.6983,Size_03,140SUR,140SUR1QQSS11,SUR,Tricho present,-2.0,False
ERR318598,0,0,0.0,0.0,0.0,0.0,0.01,Mediterranean,Tara,42.1735,17.7252,Size_04,23DCM,23DCM1SSUU11,DCM,No Tricho,-2.0,False
ERR4691753,48108,136352,91.3887,30.2759,37.6,58.9,322.4396782841823,Indian,Tara,-13.0833,46.971,Size_03,53SUR,53SUR1QQSS11,SUR,Tricho present,2.5084484791614963,True
ERR4691693,0,0,0.0,0.0,0.0,0.0,0.01,Arctic,Tara,61.5442,304.0135,Size_02,210SUR,210SUR1KKQQ11,SUR,No Tricho,-2.0,False
ERR1726616,0,0,0.0,0.0,0.0,0.0,0.01,North Pacific,Tara,32.931,238.13549999999998,Size_02,135DCM,135DCM1MMQQ11,DCM,No Tricho,-2.0,False
ERR1726728,752,41220,27.6273,0.475141,37.3,59.6,5.040214477211797,Indian,Tara,-17.4174,42.2547,Size_03,58SUR,58SUR1QQSS11,SUR,Tricho present,0.7024490174549923,True
